url,file,in_img,has_width,has_height
https://atandra.in,dist.bak\about\company.html,0,0,0
https://atandra.in,dist.bak\about\events.html,0,0,0
https://atandra.in,dist.bak\about\events.html,1,0,0
https://atandra.in,dist.bak\about\our-leadership.html,0,0,0
https://atandra.in,dist.bak\about\our-leadership.html,1,0,0
https://atandra.in,dist.bak\assets\index-D8C91Piw.js,0,0,0
https://atandra.in,dist.bak\conserve\enterprise-esg-reporting.html,0,0,0
https://atandra.in,dist.bak\conserve\enterprise-esg-reporting.html,1,0,0
https://atandra.in,dist.bak\conserve\on-premise-systems.html,0,0,0
https://atandra.in,dist.bak\conserve\on-premise-systems.html,1,0,0
https://atandra.in,dist.bak\conserve\smart-factory-solution.html,0,0,0
https://atandra.in,dist.bak\conserve\smart-factory-solution.html,1,0,0
https://atandra.in,dist.bak\conserve\tenant-billing-solution.html,0,0,0
https://atandra.in,dist.bak\conserve\tenant-billing-solution.html,1,0,0
https://atandra.in,dist.bak\contact\sales.html,0,0,0
https://atandra.in,dist.bak\contact\sales.html,1,0,0
https://atandra.in,dist.bak\contact\service.html,0,0,0
https://atandra.in,dist.bak\contact\service.html,1,0,0
https://atandra.in,dist.bak\measure\clamp-meters.html,0,0,0
https://atandra.in,dist.bak\measure\clamp-meters.html,1,0,0
https://atandra.in,dist.bak\measure\digital-multimeters.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters.html,1,0,0
https://atandra.in,dist.bak\measure\earth-loop-testers.html,0,0,0
https://atandra.in,dist.bak\measure\earth-loop-testers.html,1,0,0
https://atandra.in,dist.bak\measure\earth-testers.html,0,0,0
https://atandra.in,dist.bak\measure\earth-testers.html,1,0,0
https://atandra.in,dist.bak\measure\installation-testers.html,0,0,0
https://atandra.in,dist.bak\measure\installation-testers.html,1,0,0
https://atandra.in,dist.bak\measure\insulation-testers.html,0,0,0
https://atandra.in,dist.bak\measure\insulation-testers.html,1,0,0
https://atandra.in,dist.bak\measure\micro-ohmmeters.html,0,0,0
https://atandra.in,dist.bak\measure\micro-ohmmeters.html,1,0,0
https://atandra.in,dist.bak\measure\multi-functional-meters.html,0,0,0
https://atandra.in,dist.bak\measure\multi-functional-meters.html,1,0,0
https://atandra.in,dist.bak\measure\oscilloscopes.html,0,0,0
https://atandra.in,dist.bak\measure\oscilloscopes.html,1,0,0
https://atandra.in,dist.bak\measure\power-quality-analyzers.html,0,0,0
https://atandra.in,dist.bak\measure\power-quality-analyzers.html,1,0,0
https://atandra.in,dist.bak\measure\thermal-imagers.html,0,0,0
https://atandra.in,dist.bak\measure\thermal-imagers.html,1,0,0
https://atandra.in,dist.bak\measure\clamp-meters\product\f205-f404-f604.html,0,0,0
https://atandra.in,dist.bak\measure\clamp-meters\product\f205-f404-f604.html,0,0,0
https://atandra.in,dist.bak\measure\clamp-meters\product\f406-f606.html,0,0,0
https://atandra.in,dist.bak\measure\clamp-meters\product\f406-f606.html,0,0,0
https://atandra.in,dist.bak\measure\clamp-meters\product\f407-f607.html,0,0,0
https://atandra.in,dist.bak\measure\clamp-meters\product\f407-f607.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\ca5273.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\ca5273.html,1,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\ca5292.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\ca5292.html,1,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\dmm210.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\dmm210.html,1,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\dmm240.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\dmm240.html,1,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\f65.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\f65.html,1,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\mtx203.html,0,0,0
https://atandra.in,dist.bak\measure\digital-multimeters\product\mtx203.html,1,0,0
